,Name,Rating,Reviews,Jobs,Salary_reviews,Highly_rated,Poorly_rated,Details
149,KEC International,4.1,3k,4,10.6k,"Job Security, Skill Development / Learning, Company Culture",NaN,Engineering & Construction | 5k-10k Employees | Public | 78 years old | Mumbai +253 more
150,Aditya Birla Fashion and Retail,4.2,2.9k,72,11.4k,"Job Security, Skill Development / Learning, Company Culture",NaN,Retail | 10k-50k Employees | Fortune India 500 | 8 years old | Mumbai +216 more
151,Muthoot Fincorp,4.0,2.9k,27,8k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,NBFC | 10k-50k Employees | Conglomerate | 136 years old | Trivandrum/Thiruvananthapuram +517 more
152,Viatris,4.3,2.9k,7,14.2k,"Salary & Benefits, Job Security, Work Life Balance",NaN,Pharma | 10k-50k Employees | Forbes Global 2000 | 62 years old | Canonsburg +68 more
153,Piramal Capital Housing Finance,4.2,2.9k,22,8.6k,"Company Culture, Skill Development / Learning, Salary & Benefits",NaN,NBFC | 1k-5k Employees | 3 years old | Mumbai +305 more
154,Samvardhana Motherson Group,3.8,2.8k,44,13.9k,Job Security,NaN,Auto Components | 1k-5k Employees | Public | 37 years old | Noida +72 more
155,Royal Enfield,4.2,2.8k,13,14.1k,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,Automobile | 10k-50k Employees | 122 years old | Gurgaon/Gurugram +282 more
156,Tata Communications,4.1,2.8k,446,21.6k,"Job Security, Company Culture, Skill Development / Learning",NaN,Telecom | 5k-10k Employees | Public | 37 years old | Mumbai +86 more
157,Godrej & Boyce Manufacturing,3.9,2.8k,42,16.4k,Job Security,NaN,Engineering & Construction | 10k-50k Employees | Fortune India 500 | 126 years old | Mumbai +125 more
158,L&T Finance,4.0,2.8k,1,10.6k,"Salary & Benefits, Skill Development / Learning",NaN,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +456 more
159,LG Electronics,4.0,2.8k,6,10.2k,"Job Security, Skill Development / Learning",NaN,Consumer Electronics & Appliances | 10k-50k Employees | Public | 65 years old | Seoul +235 more
160,John Deere,4.3,2.8k,12,13.5k,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,IT Services & Consulting | 5k-10k Employees | Fortune India 500 | 22 years old | Moline +112 more
161,Intas Pharmaceuticals,4.2,2.8k,66,14.4k,"Job Security, Work Life Balance, Salary & Benefits",NaN,Pharma | 10k-50k Employees | Fortune India 500 | 23 years old | Ahmedabad +111 more
