,Name,Rating,Reviews,Jobs,Salary_reviews,Highly_rated,Poorly_rated,Details
9480,Simpl,3.1,71,6,582,"Job Security, Promotions / Appraisal, Work Satisfaction",NaN,Internet | 51-200 Employees | Startup | 8 years old | Mumbai +1 more
9481,IG Infotech India,3.7,71,26,599,"Work Life Balance, Company Culture",NaN,IT Services & Consulting | 201-500 Employees | 19 years old | London +3 more
9482,HR Spot,4.6,71,--,72,"Job Security, Work Life Balance, Work Satisfaction",NaN,Education & Training | 11-50 Employees | 11 years old | Kolkata +4 more
9483,Wealth Clinic,3.4,71,28,408,NaN,NaN,Real Estate | 501-1k Employees (Global) | 11 years old | Noida +3 more
9484,New Holland,4.3,71,--,324,"Work Satisfaction, Company Culture, Skill Development / Learning",NaN,Greater Noida +18 more
9485,Futran Solutions,4.0,71,18,233,"Work Life Balance, Company Culture, Work Satisfaction",NaN,Software Product | 51-200 Employees | 13 years old | Edison +2 more
9486,SAT n paper,4.4,71,--,65,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,Noida
9487,Hotel Andaz Delhi Aerocity,3.9,71,--,265,"Company Culture, Skill Development / Learning, Job Security",NaN,Hospitality | 201-500 Employees | New Delhi +6 more
9488,Stats Perform,4.0,71,9,489,NaN,NaN,Sports & Recreation | 501-1k Employees | Chennai +4 more
9489,Infotree Global Solutions,4.4,71,74,255,"Work Life Balance, Company Culture, Work Satisfaction",NaN,New Delhi +5 more
9490,Devon Software Services,4.2,71,16,317,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Software Product | 201-500 Employees | 19 years old | Bangalore/Bengaluru +2 more
9491,EOX Vantage,3.6,71,--,506,Job Security,Promotions / Appraisal,Software Product | 201-500 Employees | Bengaluru/Bangalore +1 more
9492,ITILITE,3.2,71,67,608,"Job Security, Promotions / Appraisal",NaN,Software Product | 51-200 Employees | Startup | 6 years old | Bangalore +6 more
9493,Globsyn-3rdLife,2.6,71,--,178,"Job Security, Promotions / Appraisal, Salary & Benefits",NaN,IT Services & Consulting | 1k-5k Employees | 6 years old | calcutta +1 more
9494,ASC Technology Solutions,4.6,71,--,87,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",NaN,51-200 Employees | Ahmedabad +2 more
9495,R.K. Group,3.9,71,2,672,"Skill Development / Learning, Work Satisfaction",NaN,Real Estate | 51-200 Employees | 39 years old | Kolkata +26 more
9496,Techjays,4.6,71,--,109,"Skill Development / Learning, Company Culture, Job Security",NaN,IT Services & Consulting | 51-200 Employees | 5 years old | Santa Cruz +3 more
9497,Arshiya International,3.8,71,--,504,Skill Development / Learning,NaN,Logistics | 201-500 Employees | Public | 42 years old | Mumbai +8 more
9498,Vantage Integrated Security Solutions,3.3,71,19,420,Salary & Benefits,NaN,Electronics Manufacturing | 51-200 Employees | 33 years old | West Midlands +10 more
9499,INIFD,3.2,71,--,355,"Promotions / Appraisal, Job Security",NaN,Education & Training | 51-200 Employees (Global) | 28 years old | Chandigarh +31 more
9500,Mitsuba,3.7,71,--,505,NaN,NaN,Auto Components | 51-200 Employees | 26 years old | Michigan +6 more
9501,Excell Autovista,3.1,71,--,452,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NaN,Automobile | 501-1k Employees | 19 years old | Mumbai +6 more
9502,E Solutions It Services,3.8,71,1,429,Work Life Balance,NaN,Recruitment | 11-50 Employees | 20 years old | San Jose +8 more
9503,Karnataka Power Corporation,4.0,71,--,342,Work Life Balance,NaN,Power | 10k-50k Employees | State | 53 years old | Bengaluru +9 more
9504,Nipro Medical,3.8,71,--,430,"Skill Development / Learning, Job Security",NaN,Healthcare | 501-1k Employees | 69 years old | Osaka +23 more
9505,Dr. Balabhai Nanavati Hospital,4.4,71,--,451,"Skill Development / Learning, Job Security, Work Satisfaction",NaN,Healthcare | 1k-5k Employees | 72 years old | Mumbai +3 more
9506,Alliance India,4.1,71,1,496,"Work Life Balance, Skill Development / Learning, Company Culture",NaN,Non-Profit | 51-200 Employees | 24 years old | New York City +14 more
9507,Microsoft Global Service Center,3.6,71,--,706,Skill Development / Learning,NaN,10k-50k Employees | Hyderabad/Secunderabad +7 more
9508,BACS HITECH ENGINEERING,3.9,71,1,118,"Work Satisfaction, Skill Development / Learning",NaN,Engineering & Construction | 501-1k Employees | 5 years old | Bhilai Nagar +23 more
9509,Reliance Infocomm Engineering,3.8,71,--,683,NaN,NaN,Telecom | 10k-50k Employees | Mumbai +38 more
9510,Eos,3.3,71,2,235,NaN,NaN,BPO | 501-1k Employees | 26 years old | Thane +8 more
9511,Alexis Global,3.5,71,--,388,"Promotions / Appraisal, Job Security",NaN,Logistics | 501-1k Employees (Global) | 10 years old | New Delhi +20 more
9512,Universal Precision Screws,3.4,71,--,420,"Company Culture, Job Security, Work Satisfaction",NaN,Industrial Machinery | 51-200 Employees | 17 years old | Rohtak +3 more
9513,Orane International,3.9,71,2,426,NaN,NaN,Beauty & Personal Care | 201-500 Employees | 14 years old | Mohali +16 more
9514,Ruparel Realty,3.6,71,--,508,NaN,NaN,Real Estate | 201-500 Employees | 23 years old | Mumbai +3 more
9515,Al Mulla Group,4.0,71,--,288,"Work Life Balance, Job Security, Work Satisfaction",NaN,Non-Profit | 10k-50k Employees (Global) | 85 years old | Kuwait City +8 more
9516,Solenis,3.9,71,--,531,"Work Life Balance, Salary & Benefits, Company Culture",NaN,Chemicals | 51-200 Employees | 116 years old | Wilmington +6 more
9517,Krishna Enterprises,3.9,71,--,786,"Skill Development / Learning, Work Life Balance, Company Culture",NaN,Industrial Machinery | 1-10 Employees | 6 years old | Noida +31 more
9518,HR Spot,4.6,71,--,72,"Job Security, Work Life Balance, Work Satisfaction",NaN,Education & Training | 11-50 Employees | 11 years old | Kolkata +4 more
9519,Oman Trading Establishment,3.8,71,--,208,Work Life Balance,NaN,Auto Components | 1k-5k Employees (Global) | 32 years old | Muscat +2 more
9520,Sarda Metals & Alloys,4.1,71,1,379,"Job Security, Work Life Balance",NaN,Metals & Mining | 201-500 Employees | Public | 50 years old | Raipur +4 more
9521,Dr. Mehta's Hospitals,3.9,71,9,430,"Skill Development / Learning, Work Satisfaction, Job Security",NaN,Healthcare | 201-500 Employees (Global) | 90 years old | Chennai +4 more
9522,Mobiotics,4.9,71,3,210,"Job Security, Skill Development / Learning, Work Life Balance",NaN,Software Product | 51-200 Employees | 12 years old | Bangalore +2 more
9523,Vegazva Engineering,3.6,71,26,305,NaN,NaN,IT Services & Consulting | 51-200 Employees | 16 years old | Gurgaon/Gurugram +5 more
9524,South India Krishna Oil & Fat,4.4,71,1,405,"Job Security, Company Culture, Work Life Balance",NaN,Oil & Gas | 1k-5k Employees | 14 years old | New Delhi +3 more
9525,Hirotec,3.7,71,12,517,Job Security,Company Culture,Auto Components | 201-500 Employees | 18 years old | New Delhi +2 more
9526,Globsyn-3rdLife,2.6,71,--,178,"Job Security, Promotions / Appraisal, Salary & Benefits",NaN,IT Services & Consulting | 1k-5k Employees | 6 years old | calcutta +1 more
9527,Brilyant IT Solutions,3.7,71,4,232,Work Life Balance,NaN,IT Services & Consulting | 51-200 Employees | 9 years old | Bangalore/Bengaluru +6 more
9528,DentalKart,4.4,71,1,266,"Job Security, Company Culture, Skill Development / Learning",NaN,Internet | Startup | 8 years old | new delhi +3 more
9529,Gainwell CAT,4.3,71,--,323,"Skill Development / Learning, Salary & Benefits, Job Security",NaN,Industrial Machinery | 501-1k Employees | Kolkata +19 more
9530,Simpl,3.1,71,6,582,"Job Security, Promotions / Appraisal, Work Satisfaction",NaN,Internet | 51-200 Employees | Startup | 8 years old | Mumbai +1 more
9531,India Ratings & Research,3.6,71,--,509,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Financial Services | 51-200 Employees | 28 years old | Mumbai +11 more
9532,Cropdata Technology,3.4,71,9,180,NaN,NaN,Software Product | 501-1k Employees | 7 years old | Nagpur +9 more
9533,Hotel Andaz Delhi Aerocity,3.9,71,--,265,"Company Culture, Skill Development / Learning, Job Security",NaN,Hospitality | 201-500 Employees | New Delhi +6 more
9534,New Holland,4.3,71,--,324,"Work Satisfaction, Company Culture, Skill Development / Learning",NaN,Greater Noida +18 more
9535,Allyis India,3.4,71,--,534,NaN,NaN,IT Services & Consulting | 201-500 Employees | 27 years old | Hyderabad
9536,IG Infotech India,3.7,71,26,599,"Work Life Balance, Company Culture",NaN,IT Services & Consulting | 201-500 Employees | 19 years old | London +3 more
9537,Wealth Clinic,3.4,71,28,408,NaN,NaN,Real Estate | 501-1k Employees (Global) | 11 years old | Noida +3 more
9538,Tcs And Associates,4.0,71,--,946,"Job Security, Work Life Balance, Company Culture",NaN,51-200 Employees | Mumbai +13 more
9539,R.K. Group,3.9,71,2,672,"Skill Development / Learning, Work Satisfaction",NaN,Real Estate | 51-200 Employees | 39 years old | Kolkata +26 more
9540,ASC Technology Solutions,4.6,71,--,87,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",NaN,51-200 Employees | Ahmedabad +2 more
9541,Futran Solutions,4.0,71,18,233,"Work Life Balance, Company Culture, Work Satisfaction",NaN,Software Product | 51-200 Employees | 13 years old | Edison +2 more
9542,EOX Vantage,3.6,71,--,506,Job Security,Promotions / Appraisal,Software Product | 201-500 Employees | Bengaluru/Bangalore +1 more
9543,Infotree Global Solutions,4.4,71,74,255,"Work Life Balance, Company Culture, Work Satisfaction",NaN,New Delhi +5 more
9544,Devon Software Services,4.2,71,16,317,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Software Product | 201-500 Employees | 19 years old | Bangalore/Bengaluru +2 more
9545,Techjays,4.6,71,--,109,"Skill Development / Learning, Company Culture, Job Security",NaN,IT Services & Consulting | 51-200 Employees | 5 years old | Santa Cruz +3 more
9546,SAT n paper,4.4,71,--,65,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,Noida
9547,ITILITE,3.2,71,67,608,"Job Security, Promotions / Appraisal",NaN,Software Product | 51-200 Employees | Startup | 6 years old | Bangalore +6 more
9548,Stats Perform,4.0,71,9,489,NaN,NaN,Sports & Recreation | 501-1k Employees | Chennai +4 more
9549,Cornerstone OnDemand,4.1,71,70,885,"Salary & Benefits, Work Life Balance, Company Culture",NaN,Software Product | 501-1k Employees | Conglomerate | 24 years old | Santa Monica +4 more
9550,Kich Architectural Products,3.8,71,1,343,"Work Life Balance, Skill Development / Learning",NaN,Architecture & Interior Design | 51-200 Employees | 20 years old | Rajkot +18 more
9551,Decision Point,4.1,71,108,446,"Skill Development / Learning, Job Security, Work Satisfaction",NaN,Management Consulting | 201-500 Employees | 11 years old | Gurgaon/Gurugram +1 more
9552,Clairvoyant India,4.1,71,37,780,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,IT Services & Consulting | 201-500 Employees | 9 years old | Pune +2 more
9553,Unicommerce Esolutions,3.7,71,56,636,Company Culture,NaN,Software Product | 201-500 Employees | Startup | 11 years old | Gurgaon +2 more
9554,Lansum Properties,4.2,71,16,354,"Skill Development / Learning, Work Satisfaction, Work Life Balance",NaN,Real Estate | 11-50 Employees | 9 years old | Hyderabad/Secunderabad +2 more
9555,Pigeon India,4.0,71,1,388,"Work Life Balance, Job Security, Work Satisfaction",NaN,Consumer Electronics & Appliances | 51-200 Employees | 66 years old | Tokyo +12 more
9556,Copart,4.1,71,6,760,"Work Life Balance, Job Security, Salary & Benefits",NaN,Automobile | 201-500 Employees | Forbes Global 2000 | 41 years old | Dellas +2 more
9557,Planit Testing India,3.5,71,11,921,Skill Development / Learning,NaN,IT Services & Consulting | 201-500 Employees | 26 years old | Sydney +4 more
9558,The Hackett Group,3.3,71,23,617,NaN,NaN,Management Consulting | 201-500 Employees | 26 years old | Miami +2 more
9559,Aditya Hospital,4.0,71,1,303,NaN,NaN,Healthcare | 51-200 Employees | 25 years old | Hyderabad +12 more
9560,Rohini Industrial Electricals,4.2,70,--,261,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Electrical Equipment | 201-500 Employees | Public | 40 years old | Mumbai +15 more
9561,Raytheon,3.3,70,98,256,"Salary & Benefits, Skill Development / Learning, Promotions / Appraisal",NaN,Aviation | 1k-5k Employees | 101 years old | Waltham +12 more
9562,Neural IT,3.1,70,4,430,"Promotions / Appraisal, Job Security, Work Satisfaction",NaN,Financial Services | 51-200 Employees | 19 years old | New York +1 more
9563,Bharat Parenterals,3.0,70,1,512,Promotions / Appraisal,NaN,Pharma | 51-200 Employees | Public | 31 years old | Vadodara/Baroda +4 more
9564,Infinium Toyota,4.3,70,--,217,"Skill Development / Learning, Job Security, Company Culture",NaN,Automobile | 201-500 Employees | 23 years old | Ahmedabad +6 more
9565,OPK e Services,3.7,70,13,402,Company Culture,NaN,51-200 Employees | 17 years old | Gurgaon +2 more
9566,SVG Express Services,3.3,70,--,248,"Promotions / Appraisal, Job Security",NaN,BPO | 1k-5k Employees (Global) | 21 years old | Jaipur +11 more
9567,Tenpath,3.8,70,2,445,"Skill Development / Learning, Job Security",NaN,IT Services & Consulting | 501-1k Employees | 21 years old | Oak Brook +3 more
9568,Citizen Co-operative Bank,3.3,70,--,362,"Promotions / Appraisal, Salary & Benefits, Company Culture",NaN,Banking | 51-200 Employees | Public | 26 years old | Noida +15 more
9569,Gajra Gears,3.9,70,--,370,"Job Security, Work Life Balance, Work Satisfaction",NaN,Automobile | 1k-5k Employees | 61 years old | Dewas +9 more
9570,National Environmental Engineering Research Institute,4.3,70,--,427,"Work Satisfaction, Company Culture, Skill Development / Learning",NaN,Clinical Research | 501-1k Employees | 65 years old | Nagpur +8 more
9571,Cambridge International School,4.4,70,--,435,"Skill Development / Learning, Work Life Balance, Company Culture",NaN,Education & Training | 1k-5k Employees | 10 years old | Nawanshahr +20 more
9572,Kewaunee Labway,4.2,70,--,455,"Job Security, Company Culture, Work Life Balance",NaN,Furniture & Furnishing | 201-500 Employees | 117 years old | Statesville +5 more
9573,Gp Petroleums,3.5,70,1,335,NaN,NaN,Chemicals / Agri Inputs | 201-500 Employees | Public | 40 years old | Mumbai +15 more
9574,STP,3.8,70,79,456,NaN,NaN,Auto Components | 201-500 Employees | 28 years old | Whiteley +19 more
9575,Sanjay Ghodawat Group,3.3,70,--,379,"Job Security, Promotions / Appraisal, Work Satisfaction",NaN,Food Processing | 5k-10k Employees (Global) | 31 years old | Kolhapur +15 more
9576,Saya homes,3.4,70,3,384,"Job Security, Skill Development / Learning, Work Satisfaction",NaN,Real Estate | 201-500 Employees | 23 years old | Ghaziabad +3 more
9577,Panasonic Energy India Co,4.0,70,--,512,"Company Culture, Job Security",NaN,Auto Components | 501-1k Employees | Public | 51 years old | Vadodara +13 more
9578,Welkin Telecom Infra,3.4,70,--,299,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",NaN,Telecom | 5k-10k Employees | 19 years old | Kolkata +10 more
9579,Edgetech Air Systems Pvt.,3.4,70,--,381,"Salary & Benefits, Promotions / Appraisal",NaN,Electronics Manufacturing | 51-200 Employees | 18 years old | New Delhi +7 more
9580,Shalimar Group,3.9,70,--,575,Work Life Balance,NaN,Agriculture | 501-1k Employees | 53 years old | Kolkata +19 more
9581,Shreeja Mahila Milk Producer Company,4.2,70,3,255,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,51-200 Employees | Tirupati +9 more
9582,Sportking,3.7,70,--,341,Promotions / Appraisal,NaN,Fashion & Textile | 1k-5k Employees | Public | 34 years old | Ludhiana +8 more
9583,Amtech Electronics,4.0,70,--,301,"Skill Development / Learning, Work Life Balance, Promotions / Appraisal",NaN,Electronics Manufacturing | 201-500 Employees | 36 years old | Gandhinagar +5 more
9584,Sterling Infosystems,3.7,70,--,396,Salary & Benefits,NaN,IT Services & Consulting | 1k-5k Employees | 48 years old | New York +4 more
9585,Pearson,4.3,70,10,659,"Work Life Balance, Company Culture, Work Satisfaction",NaN,Education & Training | 10k-50k Employees (Global) | Conglomerate | 179 years old | London +12 more
9586,HTC,3.5,70,--,537,NaN,NaN,Consumer Electronics & Appliances | 1-10 Employees | 26 years old | Taoyuan +24 more
9587,New Horizon College of Engineering,3.9,70,8,336,Work Life Balance,NaN,Education & Training | 201-500 Employees | 22 years old | Bangalore/Bengaluru +2 more
9588,Lotus Valley International School,3.9,70,--,347,Skill Development / Learning,NaN,Education & Training | 201-500 Employees | 19 years old | Noida +6 more
9589,Alice Blue Commodities,3.7,70,19,537,NaN,NaN,FinTech | 501-1k Employees | 17 years old | Bangalore/Bengaluru +17 more
9590,Derewala Jewellery Industries,3.4,70,4,464,NaN,NaN,Jewellery | 201-500 Employees | 36 years old | Jaipur
9591,BRG Group,3.5,70,--,344,NaN,NaN,Metals & Mining | 1k-5k Employees (Global) | 29 years old | Kolkata +7 more
9592,Phoenix Mecano,4.1,70,--,592,"Job Security, Work Life Balance, Company Culture",NaN,Industrial Machinery | 201-500 Employees | 48 years old | Stein am Rhein +7 more
9593,Benzo Chem Industries,3.6,70,2,658,NaN,NaN,Chemicals | 51-200 Employees | 41 years old | Mumbai +7 more
9594,Microgen Hygiene,2.7,70,1,317,"Job Security, Promotions / Appraisal, Work Satisfaction",NaN,Healthcare | 51-200 Employees | MNC | 16 years old | Mumbai +10 more
9595,Maya Digital Studios,3.3,70,--,394,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",NaN,Animation & VFX | 201-500 Employees | 27 years old | Mumbai +4 more
9596,SIP Academy,4.5,70,15,265,"Skill Development / Learning, Company Culture, Job Security",NaN,Education & Training | 51-200 Employees | 20 years old | Chennai +25 more
9597,Business Octane Solutions,4.2,70,2,369,"Skill Development / Learning, Promotions / Appraisal, Job Security",NaN,Education & Training | 51-200 Employees | 16 years old | Gurgaon/Gurugram +7 more
9598,Oil Field Instrumentation,2.8,70,--,253,"Salary & Benefits, Promotions / Appraisal, Company Culture",NaN,Oil & Gas | 501-1k Employees | 31 years old | Mumbai +9 more
9599,Ametek Instruments India,3.9,70,25,663,"Work Life Balance, Work Satisfaction, Company Culture",NaN,Electrical Equipment | 201-500 Employees | 93 years old | Berwyn +12 more
9600,Bellfast Management,3.9,70,53,418,"Work Life Balance, Work Satisfaction, Skill Development / Learning",NaN,Recruitment | 11-50 Employees | 28 years old | Bangalore/Bengaluru +18 more
9601,Kion india,3.6,70,19,606,NaN,NaN,Industrial Machinery | 201-500 Employees | Forbes Global 2000 | 12 years old | Pune +9 more
9602,Digicommerce Solutions,4.4,70,--,161,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,1-10 Employees | Noida +3 more
9603,Pradhan Mantri Kaushal Kendra,4.2,70,--,232,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,Non-Profit | 10k-50k Employees | delhi +47 more
9604,Ben & Gaws,4.8,70,1,94,"Company Culture, Promotions / Appraisal, Work Satisfaction",NaN,51-200 Employees | 7 years old | Delhi
9605,Jabra Connect,4.2,70,1,464,"Work Life Balance, Work Satisfaction, Company Culture",NaN,Consumer Electronics & Appliances | 51-200 Employees | 22 years old | Noida +6 more
9606,FINE COMPONENTS AND TOOLS,3.6,70,1,464,NaN,NaN,Industrial Machinery | 501-1k Employees | 26 years old | Bengaluru +3 more
9607,Sirca Paints India,4.1,70,2,343,Work Life Balance,NaN,Chemicals | 51-200 Employees | Public | 17 years old | Delhi/NCR +18 more
9608,EarlySalary.com,4.1,70,46,511,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,FinTech | 501-1k Employees | Startup | 8 years old | Pune +4 more
9609,NexWave Talent Management Solutions,4.3,70,--,557,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,IT Services & Consulting | 51-200 Employees | 16 years old | Atlanta +7 more
9610,Anand Engineering Products,3.7,70,--,445,Skill Development / Learning,Job Security,Engineering & Construction | 201-500 Employees | 47 years old | Tiruchirappalli +4 more
9611,Quotient Technology,4.3,70,2,611,"Work Life Balance, Company Culture, Salary & Benefits",NaN,IT Services & Consulting | 201-500 Employees | Public | 25 years old | Salt Lake City +1 more
9612,Juspay Technologies,4.0,70,8,572,"Skill Development / Learning, Company Culture, Job Security",NaN,FinTech | 51-200 Employees | Startup | 11 years old | Bengaluru/Bangalore +5 more
9613,Minanshika Softech Solution,4.2,70,--,12,"Work Satisfaction, Job Security, Salary & Benefits",NaN,BPO | 11-50 Employees | 4 years old | Kolkata +9 more
9614,Hirva HR Solutions,4.5,70,470,18,"Work Satisfaction, Company Culture, Skill Development / Learning",NaN,Recruitment | 51-200 Employees | 3 years old | Surat +30 more
9615,Gmoney Pvt. Ltd.,3.8,70,11,214,Salary & Benefits,NaN,Financial Services | 51-200 Employees | 4 years old | Mumbai +11 more
9616,sifars,4.8,70,3,16,"Work Life Balance, Company Culture, Work Satisfaction",NaN,IT Services & Consulting | 11-50 Employees | 6 years old | Patiala
9617,Bharat Petroleum Mumbai Refinery,4.2,70,--,438,"Salary & Benefits, Company Culture, Work Satisfaction",NaN,11-50 Employees | Mumbai +5 more
9618,Continuum Global Solutions,3.7,70,1,491,Salary & Benefits,NaN,BPO | 11-50 Employees | Indore +3 more
9619,Saarloha Advanced Materials,3.4,70,--,475,Promotions / Appraisal,NaN,1k-5k Employees | Pune +3 more
9620,A-Check Global,3.8,70,6,270,"Job Security, Work Life Balance",NaN,201-500 Employees | Chennai +4 more
9621,Cogeme Precision Parts,3.9,70,--,476,Company Culture,NaN,Industrial Machinery | 51-200 Employees | 16 years old | Pune
9622,E C R Buildtech,4.1,70,--,349,"Skill Development / Learning, Work Satisfaction, Job Security",NaN,51-200 Employees | 11 years old | Bhiwadi +10 more
9623,Ess Kay Fabrication,3.5,70,--,332,NaN,NaN,Engineering & Construction | 11-50 Employees | 32 years old | Gurgaon/Gurugram +4 more
9624,Benzo Chem Industries,3.6,70,2,658,NaN,NaN,Chemicals | 51-200 Employees | 41 years old | Mumbai +7 more
9625,Microgen Hygiene,2.7,70,1,317,"Job Security, Promotions / Appraisal, Work Satisfaction",NaN,Healthcare | 51-200 Employees | MNC | 16 years old | Mumbai +10 more
9626,Phoenix Mecano,4.1,70,--,592,"Job Security, Work Life Balance, Company Culture",NaN,Industrial Machinery | 201-500 Employees | 48 years old | Stein am Rhein +7 more
9627,Kohinoor Group,3.7,70,1,786,NaN,NaN,Real Estate | 1k-5k Employees (Global) | 62 years old | Mumbai +6 more
9628,Finolex,4.1,70,2,468,"Work Life Balance, Job Security, Skill Development / Learning",NaN,Petrochemicals | 1k-5k Employees | Conglomerate | 65 years old | Pune +18 more
9629,Alice Blue Commodities,3.7,70,19,537,NaN,NaN,FinTech | 501-1k Employees | 17 years old | Bangalore/Bengaluru +17 more
9630,Derewala Jewellery Industries,3.4,70,4,464,NaN,NaN,Jewellery | 201-500 Employees | 36 years old | Jaipur
9631,BRG Group,3.5,70,--,344,NaN,NaN,Metals & Mining | 1k-5k Employees (Global) | 29 years old | Kolkata +7 more
9632,Oriental Rubber Industries,3.6,70,--,613,"Promotions / Appraisal, Salary & Benefits",NaN,Petrochemicals | 201-500 Employees | 74 years old | Pune +3 more
9633,Business Octane Solutions,4.2,70,2,369,"Skill Development / Learning, Promotions / Appraisal, Job Security",NaN,Education & Training | 51-200 Employees | 16 years old | Gurgaon/Gurugram +7 more
9634,Oil Field Instrumentation,2.8,70,--,253,"Salary & Benefits, Promotions / Appraisal, Company Culture",NaN,Oil & Gas | 501-1k Employees | 31 years old | Mumbai +9 more
9635,Solaimalai Enterprises,3.8,70,1,268,Skill Development / Learning,NaN,Logistics | 501-1k Employees | 28 years old | Madurai +16 more
9636,Ametek Instruments India,3.9,70,25,663,"Work Life Balance, Work Satisfaction, Company Culture",NaN,Electrical Equipment | 201-500 Employees | 93 years old | Berwyn +12 more
9637,TekisHub Consulting Services,4.1,70,57,671,"Company Culture, Work Life Balance, Work Satisfaction",NaN,IT Services & Consulting | 201-500 Employees | Hyderabad/Secunderabad +9 more
9638,Bharuch Enviro Infrastructure,4.0,70,--,496,"Job Security, Salary & Benefits, Company Culture",NaN,Real Estate | 51-200 Employees | 26 years old | Ankleshwar +3 more
9639,Promaestro Techsource,4.6,70,--,1.3k,"Skill Development / Learning, Work Satisfaction, Company Culture",NaN,IT Services & Consulting | 51-200 Employees | 15 years old | Hyderabad +2 more
9640,Jaya Shree Textiles,3.5,70,--,230,Job Security,Promotions / Appraisal,Fashion & Textile | 51-200 Employees | 74 years old | Hooghly +5 more
9641,Jayabheri Automotives,3.9,70,--,339,Skill Development / Learning,NaN,Engineering & Construction | 201-500 Employees | 36 years old | Hyderabad +6 more
9642,Al Ansari Trading Enterprise LLC,4.0,70,--,308,"Skill Development / Learning, Job Security",NaN,Engineering & Construction | 501-1k Employees | 48 years old | Muscat +2 more
9643,KGL,3.3,70,--,407,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",NaN,501-1k Employees | Chennai +6 more
9644,East West Seeds,4.5,70,--,344,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,FMCG | 51-200 Employees | 41 years old | Nonthaburi +15 more
9645,Digital Minds Software Solutions,3.8,70,1,217,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Software Product | 51-200 Employees | 11 years old | Hyderabad +1 more
9646,Kohinoor Group,3.7,70,1,786,NaN,NaN,Real Estate | 1k-5k Employees (Global) | 62 years old | Mumbai +6 more
9647,Finolex,4.1,70,2,468,"Work Life Balance, Job Security, Skill Development / Learning",NaN,Petrochemicals | 1k-5k Employees | Conglomerate | 65 years old | Pune +18 more
9648,Oriental Rubber Industries,3.6,70,--,613,"Promotions / Appraisal, Salary & Benefits",NaN,Petrochemicals | 201-500 Employees | 74 years old | Pune +3 more
9649,OPK e Services,3.7,70,13,402,Company Culture,NaN,51-200 Employees | 17 years old | Gurgaon +2 more
9650,Kewaunee Labway,4.2,70,--,455,"Job Security, Company Culture, Work Life Balance",NaN,Furniture & Furnishing | 201-500 Employees | 117 years old | Statesville +5 more
9651,Gp Petroleums,3.5,70,1,335,NaN,NaN,Chemicals / Agri Inputs | 201-500 Employees | Public | 40 years old | Mumbai +15 more
9652,Cambridge International School,4.4,70,--,435,"Skill Development / Learning, Work Life Balance, Company Culture",NaN,Education & Training | 1k-5k Employees | 10 years old | Nawanshahr +20 more
9653,Ess Kay Fabrication,3.5,70,--,332,NaN,NaN,Engineering & Construction | 11-50 Employees | 32 years old | Gurgaon/Gurugram +4 more
9654,Adaan Digital Solution,2.9,70,4,497,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",NaN,Media & Entertainment | 51-200 Employees | 18 years old | Delhi/NCR +1 more
9655,SVG Express Services,3.3,70,--,248,"Promotions / Appraisal, Job Security",NaN,BPO | 1k-5k Employees (Global) | 21 years old | Jaipur +11 more
9656,Inamdar Multispeciality Hospital,4.2,70,3,245,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,Healthcare | 201-500 Employees | 13 years old | Pune +1 more
9657,Simon India,3.6,70,--,464,Work Life Balance,"Job Security, Promotions / Appraisal",Oil & Gas | 51-200 Employees | 20 years old | New Delhi +13 more
9658,Bharuch Enviro Infrastructure,4.0,70,--,496,"Job Security, Salary & Benefits, Company Culture",NaN,Real Estate | 51-200 Employees | 26 years old | Ankleshwar +3 more
9659,Promaestro Techsource,4.6,70,--,1.3k,"Skill Development / Learning, Work Satisfaction, Company Culture",NaN,IT Services & Consulting | 51-200 Employees | 15 years old | Hyderabad/Secunderabad +2 more
9660,Quotient Technology,4.3,70,2,611,"Work Life Balance, Company Culture, Salary & Benefits",NaN,IT Services & Consulting | 201-500 Employees | Public | 25 years old | Salt Lake City +1 more
9661,Ben & Gaws,4.8,70,1,94,"Company Culture, Promotions / Appraisal, Work Satisfaction",NaN,51-200 Employees | 7 years old | Delhi
9662,Sirca Paints India,4.1,70,2,343,Work Life Balance,NaN,Chemicals | 51-200 Employees | Public | 17 years old | Delhi/NCR +18 more
